adventure_keyword_count,adventure_keyword_binary,relaxation_keyword_count,relaxation_keyword_binary,culture_keyword_count,culture_keyword_binary,budget_keyword_count,budget_keyword_binary,luxury_keyword_count,luxury_keyword_binary,family_keyword_count,family_keyword_binary,adventure_keyword_ratio,relaxation_keyword_ratio,culture_keyword_ratio,budget_keyword_ratio,luxury_keyword_ratio,family_keyword_ratio,price_tier,region_southeast_asia,region_east_asia,region_south_asia,region_central_asia,region_western_europe,region_eastern_europe,region_southern_europe,region_northern_europe,region_north_america,region_central_america,region_south_america,region_caribbean,region_north_africa,region_west_africa,region_east_africa,region_southern_africa,region_middle_east,region_oceania,destination_name,label
0,0,1,0,1,0,0,0,0,0,2,1,0.0,0.25,0.25,0.0,0.0,0.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Colombo,Budget
1,0,0,0,0,0,1,1,0,0,0,0,0.5,0.0,0.0,0.5,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Mexico City,Budget
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jakarta,Budget
0,0,1,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ubud,Relaxation
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Koh Samui,Relaxation
4,1,0,0,0,0,0,0,1,1,0,0,0.8,0.0,0.0,0.0,0.2,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phuket,Relaxation
1,0,1,0,3,1,4,1,0,0,0,0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.4444444444444444,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Tulum,Relaxation
2,0,1,0,0,0,0,0,1,1,3,1,0.2857142857142857,0.14285714285714285,0.0,0.0,0.14285714285714285,0.42857142857142855,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Algarve,Relaxation
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,St. Barts,Luxury
1,0,0,0,2,0,1,1,0,0,0,0,0.25,0.0,0.5,0.25,0.0,0.0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Mykonos,Luxury
1,0,0,0,2,0,0,0,0,0,0,0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Amalfi Coast,Luxury
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Aspen,Luxury
3,1,1,0,0,0,0,0,0,0,0,0,0.75,0.25,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Singapore,Luxury
0,0,2,0,4,1,0,0,0,0,2,1,0.0,0.25,0.5,0.0,0.0,0.25,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tokyo,Family
0,0,1,0,3,1,1,1,1,1,1,1,0.0,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Barcelona,Family
0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Sydney,Family
1,0,0,0,2,0,0,0,0,0,3,1,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Amsterdam,Family
0,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Vienna,Family
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Copenhagen,Family
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Cancun,Family
1,0,0,0,1,0,0,0,0,0,4,1,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Gold Coast,Family
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Marne-la-Vallee,Family
